# Hills Cf(x) comparison: SST vs DNS (Krank 2018)
# DNS separation: x/H=0.1691
# DNS reattachment: x/H=5.0357
# x/H  Cf_SST  Cf_DNS
2.768555  0.00235418  -0.00463071
2.774414  0.00235526  -0.00462825
2.780273  0.00235632  -0.00462579
2.786133  0.00235735  -0.00462104
2.791992  0.00235836  -0.00461582
2.797852  0.00235934  -0.00461000
2.803711  0.00236031  -0.00460117
2.809570  0.00236126  -0.00459234
2.815430  0.00236220  -0.00458367
2.821289  0.00236313  -0.00457516
2.827148  0.00236405  -0.00456666
2.833008  0.00236497  -0.00455958
2.838867  0.00236588  -0.00455278
2.844727  0.00236679  -0.00454572
2.850586  0.00236771  -0.00453733
2.856445  0.00236863  -0.00452894
2.862305  0.00236956  -0.00451945
2.868164  0.00237050  -0.00450885
2.874023  0.00237146  -0.00449826
2.879883  0.00237242  -0.00448638
2.885742  0.00237341  -0.00447425
2.891602  0.00237441  -0.00446206
2.897461  0.00237543  -0.00444955
2.903320  0.00237647  -0.00443703
2.909180  0.00237752  -0.00442488
2.915039  0.00237859  -0.00441307
2.920898  0.00237968  -0.00440127
2.926758  0.00238077  -0.00439082
2.932617  0.00238187  -0.00438064
2.938477  0.00238298  -0.00437090
2.944336  0.00238409  -0.00436337
2.950195  0.00238521  -0.00435583
2.956055  0.00238631  -0.00434864
2.961914  0.00238742  -0.00434179
2.967773  0.00238851  -0.00433493
2.973633  0.00238959  -0.00432872
2.979492  0.00239066  -0.00432263
2.985352  0.00239172  -0.00431642
2.991211  0.00239276  -0.00430960
2.997070  0.00239379  -0.00430278
3.002930  0.00239481  -0.00429636
3.008789  0.00239582  -0.00429033
3.014648  0.00239682  -0.00428430
3.020508  0.00239781  -0.00428003
3.026367  0.00239880  -0.00427610
3.032227  0.00239978  -0.00427251
3.038086  0.00240075  -0.00427058
3.043945  0.00240172  -0.00426866
3.049805  0.00240267  -0.00426701
3.055664  0.00240362  -0.00426565
3.061523  0.00240456  -0.00426430
3.067383  0.00240548  -0.00426211
3.073242  0.00240639  -0.00425976
3.079102  0.00240728  -0.00425729
3.084961  0.00240817  -0.00425422
3.090820  0.00240904  -0.00425115
3.096680  0.00240990  -0.00424783
3.102539  0.00241076  -0.00424427
3.108398  0.00241160  -0.00424071
3.114258  0.00241244  -0.00423777
3.120117  0.00241326  -0.00423496
3.125977  0.00241407  -0.00423186
3.131836  0.00241488  -0.00422726
3.137695  0.00241566  -0.00422267
3.143555  0.00241643  -0.00421703
3.149414  0.00241718  -0.00421036
3.155273  0.00241790  -0.00420369
3.161133  0.00241860  -0.00419638
3.166992  0.00241928  -0.00418894
3.172852  0.00241993  -0.00418164
3.178711  0.00242055  -0.00417502
3.184570  0.00242115  -0.00416841
3.190430  0.00242173  -0.00416240
3.196289  0.00242230  -0.00415701
3.202148  0.00242286  -0.00415162
3.208008  0.00242342  -0.00414610
3.213867  0.00242398  -0.00414056
3.219727  0.00242455  -0.00413467
3.225586  0.00242513  -0.00412707
3.231445  0.00242572  -0.00411947
3.237305  0.00242632  -0.00411082
3.243164  0.00242693  -0.00410114
3.249023  0.00242755  -0.00409146
3.254883  0.00242816  -0.00408121
3.260742  0.00242878  -0.00407084
3.266602  0.00242938  -0.00406049
3.272461  0.00242996  -0.00405028
3.278320  0.00243051  -0.00404006
3.284180  0.00243104  -0.00403059
3.290039  0.00243152  -0.00402187
3.295898  0.00243198  -0.00401314
3.301758  0.00243239  -0.00400585
3.307617  0.00243276  -0.00399885
3.313477  0.00243310  -0.00399204
3.319336  0.00243341  -0.00398621
3.325195  0.00243369  -0.00398038
3.331055  0.00243395  -0.00397482
3.336914  0.00243419  -0.00396954
3.342773  0.00243443  -0.00396425
3.348633  0.00243466  -0.00395870
3.354492  0.00243490  -0.00395310
3.360352  0.00243515  -0.00394686
3.366211  0.00243540  -0.00393746
3.372070  0.00243567  -0.00392806
3.377930  0.00243596  -0.00391725
3.383789  0.00243627  -0.00390505
3.389648  0.00243661  -0.00389284
3.395508  0.00243696  -0.00388051
3.401367  0.00243733  -0.00386815
3.407227  0.00243773  -0.00385577
3.413086  0.00243815  -0.00384326
3.418945  0.00243858  -0.00383075
3.424805  0.00243904  -0.00381982
3.430664  0.00243951  -0.00381046
3.436523  0.00243999  -0.00380111
3.442383  0.00244049  -0.00379458
3.448242  0.00244100  -0.00378862
3.454102  0.00244152  -0.00378274
3.459961  0.00244204  -0.00377728
3.465820  0.00244257  -0.00377183
3.471680  0.00244311  -0.00376509
3.477539  0.00244365  -0.00375707
3.483398  0.00244419  -0.00374905
3.489258  0.00244475  -0.00373865
3.495117  0.00244531  -0.00372778
3.500977  0.00244588  -0.00371682
3.506836  0.00244645  -0.00370549
3.512695  0.00244704  -0.00369416
3.518555  0.00244764  -0.00368098
3.524414  0.00244824  -0.00366595
3.530273  0.00244886  -0.00365093
3.536133  0.00244948  -0.00363574
3.541992  0.00245011  -0.00362052
3.547852  0.00245074  -0.00360543
3.553711  0.00245137  -0.00359100
3.559570  0.00245200  -0.00357658
3.565430  0.00245262  -0.00356220
3.571289  0.00245324  -0.00354786
3.577148  0.00245385  -0.00353352
3.583008  0.00245444  -0.00351839
3.588867  0.00245502  -0.00350310
3.594727  0.00245559  -0.00348755
3.600586  0.00245614  -0.00347067
3.606445  0.00245667  -0.00345378
3.612305  0.00245717  -0.00343599
3.618164  0.00245766  -0.00341729
3.624023  0.00245811  -0.00339859
3.629883  0.00245854  -0.00337846
3.635742  0.00245894  -0.00335805
3.641602  0.00245931  -0.00333740
3.647461  0.00245965  -0.00331563
3.653320  0.00245995  -0.00329385
3.659180  0.00246022  -0.00327262
3.665039  0.00246046  -0.00325194
3.670898  0.00246066  -0.00323126
3.676758  0.00246083  -0.00321245
3.682617  0.00246097  -0.00319400
3.688477  0.00246107  -0.00317589
3.694336  0.00246115  -0.00315944
3.700195  0.00246120  -0.00314298
3.706055  0.00246122  -0.00312752
3.711914  0.00246121  -0.00311306
3.717773  0.00246119  -0.00309859
3.723633  0.00246115  -0.00308428
3.729492  0.00246110  -0.00306999
3.735352  0.00246104  -0.00305538
3.741211  0.00246098  -0.00303914
3.747070  0.00246092  -0.00302291
3.752930  0.00246087  -0.00300562
3.758789  0.00246083  -0.00298729
3.764648  0.00246081  -0.00296897
3.770508  0.00246081  -0.00295082
3.776367  0.00246085  -0.00293272
3.782227  0.00246091  -0.00291480
3.788086  0.00246100  -0.00289781
3.793945  0.00246112  -0.00288081
3.799805  0.00246127  -0.00286283
3.805664  0.00246145  -0.00284385
3.811523  0.00246166  -0.00282488
3.817383  0.00246190  -0.00280633
3.823242  0.00246215  -0.00278787
3.829102  0.00246243  -0.00276945
3.834961  0.00246271  -0.00275117
3.840820  0.00246300  -0.00273289
3.846680  0.00246330  -0.00271530
3.852539  0.00246360  -0.00269838
3.858398  0.00246389  -0.00268145
3.864258  0.00246417  -0.00266640
3.870117  0.00246444  -0.00265171
3.875977  0.00246469  -0.00263734
3.881836  0.00246492  -0.00262455
3.887695  0.00246512  -0.00261176
3.893555  0.00246530  -0.00259907
3.899414  0.00246546  -0.00258649
3.905273  0.00246559  -0.00257391
3.911133  0.00246571  -0.00255969
3.916992  0.00246580  -0.00254515
3.922852  0.00246589  -0.00253013
3.928711  0.00246597  -0.00251273
3.934570  0.00246605  -0.00249533
3.940430  0.00246614  -0.00247703
3.946289  0.00246624  -0.00245784
3.952148  0.00246635  -0.00243864
3.958008  0.00246648  -0.00241936
3.963867  0.00246663  -0.00240007
3.969727  0.00246681  -0.00238091
3.975586  0.00246702  -0.00236240
3.981445  0.00246725  -0.00234389
3.987305  0.00246751  -0.00232643
3.993164  0.00246781  -0.00231003
3.999023  0.00246813  -0.00229363
4.004883  0.00246848  -0.00227861
4.010742  0.00246885  -0.00226386
4.016602  0.00246924  -0.00224914
4.022461  0.00246964  -0.00223454
4.028320  0.00247006  -0.00221995
4.034180  0.00247048  -0.00220497
4.040039  0.00247090  -0.00218962
4.045898  0.00247132  -0.00217427
4.051758  0.00247173  -0.00215855
4.057617  0.00247211  -0.00214275
4.063477  0.00247248  -0.00212676
4.069336  0.00247282  -0.00210974
4.075195  0.00247313  -0.00209272
4.081055  0.00247341  -0.00207649
4.086914  0.00247366  -0.00206103
4.092773  0.00247388  -0.00204558
4.098633  0.00247407  -0.00203308
4.104492  0.00247423  -0.00202116
4.110352  0.00247437  -0.00200963
4.116211  0.00247448  -0.00200000
4.122070  0.00247459  -0.00199037
4.127930  0.00247468  -0.00198138
4.133789  0.00247476  -0.00197302
4.139648  0.00247483  -0.00196465
4.145508  0.00247491  -0.00195553
4.151367  0.00247498  -0.00194625
4.157227  0.00247505  -0.00193644
4.163086  0.00247512  -0.00192394
4.168945  0.00247519  -0.00191145
4.174805  0.00247525  -0.00189695
4.180664  0.00247531  -0.00188042
4.186523  0.00247535  -0.00186390
4.192383  0.00247539  -0.00184498
4.198242  0.00247541  -0.00182558
4.204102  0.00247542  -0.00180583
4.209961  0.00247541  -0.00178433
4.215820  0.00247539  -0.00176282
4.221680  0.00247535  -0.00174164
