
NOTICE: Existing SQLite export found: /storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.sqlite
        It is assumed file was previously exported from: /storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.nsys-rep
        Consider using --force-export=true if needed.

Processing [/storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.sqlite] with [/storage/pace-apps/manual/packages/nvhpc/25.5/Linux_x86_64/25.5/profilers/Nsight_Systems/host-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)    Max (ns)   StdDev (ns)   Style            Range         
 --------  ---------------  ---------  -----------  -----------  ---------  ----------  -----------  -------  -----------------------
      0.0          177,376          7      25,339.4       1,952.0       1,280     147,072     54,122.2  nvkernel__ZN5nncfd22MultigridPoissonSolver22initialize_gpu_buffersEv_F1L1657_154                    
      0.0          147,776          1     147,776.0     147,776.0     147,776     147,776          0.0  nvkernel__ZN5nncfd10RANSSolver22initialize_gpu_buffersEv_F1L4852_282                                
      0.0          147,584          1     147,584.0     147,584.0     147,584     147,584          0.0  nvkernel__ZN5nncfd10RANSSolver22initialize_gpu_buffersEv_F1L4863_286                                
      0.0          147,520          1     147,520.0     147,520.0     147,520     147,520          0.0  nvkernel__ZN5nncfd10RANSSolver22initialize_gpu_buffersEv_F1L4866_288                                
      0.0          147,487          1     147,487.0     147,487.0     147,487     147,487          0.0  nvkernel__ZN5nncfd10RANSSolver22initialize_gpu_buffersEv_F1L4857_284                                
      0.0          147,232          1     147,232.0     147,232.0     147,232     147,232          0.0  nvkernel__ZN5nncfd10RANSSolver22initialize_gpu_buffersEv_F1L4873_292                                
      0.0          147,167          1     147,167.0     147,167.0     147,167     147,167          0.0  nvkernel__ZN5nncfd10RANSSolver22initialize_gpu_buffersEv_F1L4870_290                                

Processing [/storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.sqlite] with [/storage/pace-apps/manual/packages/nvhpc/25.5/Linux_x86_64/25.5/profilers/Nsight_Systems/host-linux-x64/reports/cuda_gpu_mem_time_sum.py]... 

 ** CUDA GPU MemOps Summary (by Time) (cuda_gpu_mem_time_sum):

 Time (%)  Total Time (ns)   Count   Avg (ns)  Med (ns)  Min (ns)   Max (ns)   StdDev (ns)               Operation              
